match_id,champion,role,lane,kills,deaths,assists,win,goldEarned,cs,duration_min,killParticipation,soloKills,teamDamagePercentage,damagePerMinute,goldPerMinute,visionScorePerMinute,controlWardsPlaced,timeSpentInEnemyHalf,turretTakedowns,teleportsCompleted,longestTimeSpentLiving,timeCCingOthers,wardsKilled,wardsPlaced
LA1_1624659816,Jayce,MIDDLE,NONE,3,1,1,True,9013,183,18.9,0.15384615384615385,1,0.1898513301377929,728.848863359236,476.4229940516478,0.7612930366912088,1,,3,,,13,1,7
LA1_1624668110,Gangplank,TOP,NONE,2,1,2,True,7272,152,16.483333333333334,0.3333333333333333,1,0.28805147785135843,626.0694071689363,438.8085238114995,0.63061001655734,0,,0,,,5,1,6
LA1_1624673803,Irelia,TOP,MIDDLE,18,6,6,True,17280,250,25.05,0.631578947368421,8,0.4312104079355259,1865.4593967912099,689.32002077303,0.38511590800211903,1,,6,,,32,0,6
LA1_1624683545,Fiora,TOP,NONE,7,1,5,True,12032,190,19.85,0.5454545454545454,3,0.3896530169123063,1255.9603228702808,606.0275640553809,0.5376003327947687,0,,6,,,19,1,7
LA1_1624697580,Riven,TOP,TOP,11,5,7,True,18015,275,32.983333333333334,0.46153846153846156,3,0.2422038259189928,835.690244573355,545.9208851558446,0.7426564724183529,0,,7,,,37,5,5
LA1_1625109708,Gwen,TOP,MIDDLE,7,6,5,False,14148,234,26.333333333333332,0.6,4,0.36323466927264997,1215.6182520585503,537.0107528216107,0.7322856042690377,2,,4,,,7,3,6
LA1_1625117649,Aatrox,TOP,TOP,9,2,5,True,11958,188,22.833333333333332,0.42424242424242425,2,0.3260495338981681,1271.3963393620859,523.2561724335139,0.9665120411992578,2,,3,,,29,0,8
LA1_1625123582,Gnar,TOP,TOP,6,6,3,False,11801,229,27.233333333333334,0.75,4,0.32036419682176537,1012.4377019301277,433.04751461901435,0.5969858870584626,1,,1,,,39,0,10
LA1_1625137375,LeeSin,JUNGLE,JUNGLE,10,4,16,True,13178,146,30.483333333333334,0.7878787878787878,1,0.2099696983799736,798.8252198406137,432.21641276042135,1.422797969240387,10,,2,,,26,4,22
LA1_1625147919,Jayce,TOP,TOP,8,4,8,True,15303,245,27.933333333333334,0.6956521739130435,0,0.29493867624291037,1074.9729787808226,547.7050728920307,0.7499160026939242,0,,4,,,22,5,7
